Access_type,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
Open Access,68606,437462,91840,186982,138949,112363,90285,489112,554622,1520019,221229,577270,1523390,5999479,1116099,10471,393531,1723269,826270,514241,141204,495165,400684,41630,1676802,1843347,399711,73469,221078,108459,412711,1195644,2668257,38792,113539,8523645,1249228,5626,6497,476316,52642,665022,139367,61719,1012243,428330,2533546,11644,62210,45781,805,456796,1561664,1533440,1096982,632890,34839,57889
Restricted Access,41723,6601,53,36376,697,13265,30733,6249,1342,20048,27591,18652,11379,2568,180420,0,6077,42146,45436,474,16020,120,9645,62524,41546,18162,33077,43697,9568,16916,992,3629,149162,20295,4,87101,61800,9,1588,54166,34438,133526,40975,6246,2936,22887,24067,39638,44687,9911,10150,87622,618,10964,2891,3870,19328,20627
No Public Access,5809,0,4354,0,8406,2223,13046,14,1119,3849,10476,0,31521,0,14607,0,0,0,6593,0,5294,899,40631,7263,0,113,28084,9067,686,59,1470,0,17655,2684,0,803,23200,109,10274,2729,23550,1432,23137,16631,21,0,5829,9237,32856,28882,2704,1265,0,13366,0,3235,0,4
Unknown Access,1,0,0,0,0,305,57,4,77,738,700,1191,6838,604,18332,0,1865,2780,8144,967,0,117,13909,0,0,43,1229,2874,0,11883,0,1241,17639,6643,375,4444,6184,0,0,29,23,3592,1560,409,0,0,61,1574,1233,5,5,608,0,0,0,754,7991,1597
